rownames,nr,year,school,exper,union,ethn,maried,health,wage,industry,occupation,residence,age,exper level,school level,wage level
349,847,1984,14,5,no,black,no,no,2.0010001154,manufacturing,"craftsmen, foremen and kindred",north east,25,intermediate,high,high
350,847,1985,14,6,yes,black,no,no,1.6481787408,construction,clerical and kindred,north east,26,intermediate,high,medium
351,847,1986,14,7,no,black,no,no,2.1257110392,construction,"managers, officials and proprietors",north east,27,intermediate,high,high
352,847,1987,14,8,yes,black,yes,no,1.6884192788,public administration,clerical and kindred,north east,28,intermediate,high,medium
353,851,1980,12,2,no,other,no,no,1.8758130783,manufacturing,operatives and kindred,nothern central,20,beginner,intermediate,medium
354,851,1981,12,3,no,other,no,yes,1.9566761628,manufacturing,operatives and kindred,nothern central,21,beginner,intermediate,medium
355,851,1982,12,4,no,other,yes,yes,1.8672538769,manufacturing,operatives and kindred,nothern central,22,intermediate,intermediate,medium
356,851,1983,12,5,no,other,yes,no,2.1745331661,manufacturing,"craftsmen, foremen and kindred",nothern central,23,intermediate,intermediate,high
357,851,1984,12,6,no,other,yes,no,1.914497107,manufacturing,laborers and farmers,nothern central,24,intermediate,intermediate,medium
358,851,1985,12,7,yes,other,yes,no,2.0179257663,manufacturing,"craftsmen, foremen and kindred",nothern central,25,intermediate,intermediate,high
359,851,1986,12,8,yes,other,yes,no,2.117659403,manufacturing,"craftsmen, foremen and kindred",nothern central,26,intermediate,intermediate,high
360,851,1987,12,9,yes,other,no,no,1.9776290487,manufacturing,"craftsmen, foremen and kindred",nothern central,27,advanced,intermediate,medium
361,863,1980,12,2,no,other,no,no,1.5704509339,construction,"professional, technical and kindred",nothern central,20,beginner,intermediate,medium
362,863,1981,12,3,no,other,no,no,1.5621850276,construction,"professional, technical and kindred",nothern central,21,beginner,intermediate,medium
363,863,1982,12,4,no,other,no,no,1.5699768436,construction,"professional, technical and kindred",nothern central,22,intermediate,intermediate,medium
364,863,1983,12,5,no,other,no,no,1.7941195867,business and repair service,"professional, technical and kindred",nothern central,23,intermediate,intermediate,medium
365,863,1984,12,6,no,other,no,no,1.8371720107,manufacturing,"professional, technical and kindred",nothern central,24,intermediate,intermediate,medium
366,863,1985,12,7,no,other,yes,no,1.8139349667,trade,clerical and kindred,nothern central,25,intermediate,intermediate,medium
367,863,1986,12,8,no,other,yes,no,2.0383955722,trade,"professional, technical and kindred",nothern central,26,intermediate,intermediate,high
368,863,1987,12,9,no,other,yes,no,1.9059035457,trade,"professional, technical and kindred",nothern central,27,advanced,intermediate,medium
369,873,1980,10,2,yes,other,no,no,0.5968629299,manufacturing,service workers,nothern central,18,beginner,intermediate,medium
370,873,1981,10,3,no,other,no,no,0.4749911708,trade,service workers,nothern central,19,beginner,intermediate,medium
371,873,1982,10,4,no,other,no,no,1.0902654029,manufacturing,service workers,nothern central,20,intermediate,intermediate,medium
372,873,1983,10,5,yes,other,no,no,1.0000020459,manufacturing,service workers,nothern central,21,intermediate,intermediate,medium
373,873,1984,10,6,yes,other,no,no,0.8330531333,professional and related service,service workers,nothern central,22,intermediate,intermediate,medium
374,873,1985,10,7,yes,other,no,no,1.4012811034,professional and related service,"professional, technical and kindred",nothern central,23,intermediate,intermediate,medium
375,873,1986,10,8,yes,other,no,no,1.7341293718,professional and related service,"professional, technical and kindred",nothern central,24,intermediate,intermediate,medium
376,873,1987,10,9,yes,other,no,no,1.8828721325,professional and related service,"professional, technical and kindred",south,25,advanced,intermediate,medium
377,891,1980,12,2,yes,other,no,no,2.0000439061,trade,operatives and kindred,nothern central,20,beginner,intermediate,high
378,891,1981,12,3,yes,other,yes,no,2.3077118487,trade,operatives and kindred,nothern central,21,beginner,intermediate,high
379,891,1982,12,4,yes,other,yes,no,2.3088126223,trade,operatives and kindred,nothern central,22,intermediate,intermediate,high
380,891,1983,12,5,yes,other,no,no,1.8804158348,trade,operatives and kindred,nothern central,23,intermediate,intermediate,medium
381,891,1984,12,6,no,other,yes,no,1.8699008277,manufacturing,operatives and kindred,south,24,intermediate,intermediate,medium
382,891,1985,12,7,yes,other,yes,no,2.0791983712,trade,sales workers,south,25,intermediate,intermediate,high
383,891,1986,12,8,yes,other,yes,no,1.8874497213,trade,sales workers,south,26,intermediate,intermediate,medium
384,891,1987,12,9,no,other,no,no,1.8094275282,trade,"professional, technical and kindred",south,27,advanced,intermediate,medium
385,908,1980,10,2,yes,other,no,no,0.9975806759,entertainment,service workers,nothern central,18,beginner,intermediate,medium
386,908,1981,10,3,yes,other,no,no,0.2309867288,entertainment,service workers,nothern central,19,beginner,intermediate,medium
387,908,1982,10,4,yes,other,no,no,0.4322609309,entertainment,service workers,nothern central,20,intermediate,intermediate,medium
388,908,1983,10,5,yes,other,no,no,0.9741552773,entertainment,service workers,nothern central,21,intermediate,intermediate,medium
389,908,1984,10,6,yes,other,no,no,0.5122099148,entertainment,service workers,nothern central,22,intermediate,intermediate,medium
390,908,1985,10,7,no,other,no,yes,0.9484363178,entertainment,"professional, technical and kindred",nothern central,23,intermediate,intermediate,medium
391,908,1986,10,8,no,other,no,no,1.2826881106,agricultural,laborers and farmers,nothern central,24,intermediate,intermediate,medium
392,908,1987,10,9,no,other,yes,no,1.377866641,agricultural,laborers and farmers,nothern central,25,advanced,intermediate,medium
393,910,1980,13,2,no,black,no,no,1.8653932455,construction,operatives and kindred,nothern central,21,beginner,high,medium
394,910,1981,13,3,no,black,no,no,2.1342497782,construction,clerical and kindred,nothern central,22,beginner,high,high
395,910,1982,13,4,no,black,no,no,1.0408965589,manufacturing,sales workers,nothern central,23,intermediate,high,medium
396,910,1983,13,5,no,black,no,no,1.7619676844,construction,"professional, technical and kindred",nothern central,24,intermediate,high,medium
397,910,1984,13,6,no,black,no,no,1.9191581526,construction,"managers, officials and proprietors",nothern central,25,intermediate,high,medium
398,910,1985,13,7,no,black,no,no,2.2570655777,construction,"professional, technical and kindred",north east,26,intermediate,high,high
399,910,1986,13,8,no,black,no,no,2.1119537142,construction,"professional, technical and kindred",nothern central,27,intermediate,high,high
400,910,1987,13,9,no,black,no,no,1.8923314682,construction,"professional, technical and kindred",north east,28,advanced,high,medium
401,916,1980,13,2,no,other,no,no,1.1754406557,manufacturing,operatives and kindred,nothern central,21,beginner,high,medium
402,916,1981,13,3,no,other,no,no,1.4116121691,manufacturing,operatives and kindred,nothern central,22,beginner,high,medium
403,916,1982,13,4,no,other,no,no,1.6157949928,manufacturing,operatives and kindred,nothern central,23,intermediate,high,medium
404,916,1983,13,5,no,other,no,no,1.6889405875,manufacturing,laborers and farmers,nothern central,24,intermediate,high,medium
405,916,1984,13,6,no,other,no,no,1.9615502851,manufacturing,"craftsmen, foremen and kindred",nothern central,25,intermediate,high,medium
406,916,1985,13,7,no,other,no,no,1.9105430052,manufacturing,"craftsmen, foremen and kindred",nothern central,26,intermediate,high,medium
407,916,1986,13,8,no,other,no,no,2.0183088137,manufacturing,"managers, officials and proprietors",nothern central,27,intermediate,high,high
408,916,1987,13,9,no,other,no,no,2.2822923897,manufacturing,"craftsmen, foremen and kindred",nothern central,28,advanced,high,high
409,919,1980,12,3,no,other,yes,no,1.5680095346,business and repair service,"craftsmen, foremen and kindred",nothern central,21,beginner,intermediate,medium
410,919,1981,12,4,yes,other,yes,no,1.3958638121,professional and related service,service workers,nothern central,22,intermediate,intermediate,medium
411,919,1982,12,5,yes,other,yes,no,1.3803484369,professional and related service,service workers,nothern central,23,intermediate,intermediate,medium
412,919,1983,12,6,yes,other,yes,no,1.4944233599,professional and related service,service workers,nothern central,24,intermediate,intermediate,medium
413,919,1984,12,7,yes,other,yes,no,1.3948643118,professional and related service,service workers,nothern central,25,intermediate,intermediate,medium
414,919,1985,12,8,yes,other,yes,no,1.440539376,professional and related service,service workers,nothern central,26,intermediate,intermediate,medium
415,919,1986,12,9,yes,other,yes,no,1.5963624794,professional and related service,service workers,nothern central,27,advanced,intermediate,medium
416,919,1987,12,10,yes,other,yes,no,1.6199168678,professional and related service,service workers,nothern central,28,advanced,intermediate,medium
417,922,1980,12,2,no,other,no,no,1.6025064352,trade,"managers, officials and proprietors",nothern central,20,beginner,intermediate,medium
418,922,1981,12,3,no,other,no,no,2.0349897791,trade,laborers and farmers,nothern central,21,beginner,intermediate,high
419,922,1982,12,4,no,other,no,no,2.2386284719,manufacturing,operatives and kindred,nothern central,22,intermediate,intermediate,high
420,922,1983,12,5,no,other,no,no,2.2176714275,manufacturing,"managers, officials and proprietors",nothern central,23,intermediate,intermediate,high
421,922,1984,12,6,no,other,no,no,2.447831093,manufacturing,"craftsmen, foremen and kindred",nothern central,24,intermediate,intermediate,high
422,922,1985,12,7,no,other,no,no,2.6036901858,manufacturing,"managers, officials and proprietors",nothern central,25,intermediate,intermediate,high
423,922,1986,12,8,no,other,no,no,2.3556905547,manufacturing,"craftsmen, foremen and kindred",nothern central,26,intermediate,intermediate,high
424,922,1987,12,9,no,other,yes,no,2.1869822099,trade,"craftsmen, foremen and kindred",nothern central,27,advanced,intermediate,high
425,924,1980,11,1,no,other,no,no,0.8535585524,professional and related service,"professional, technical and kindred",nothern central,18,beginner,intermediate,medium
426,924,1981,11,2,no,other,no,no,0.8921670296,professional and related service,clerical and kindred,nothern central,19,beginner,intermediate,medium
427,924,1982,11,3,no,other,no,no,0.8500412597,professional and related service,"professional, technical and kindred",nothern central,20,beginner,intermediate,medium
428,924,1983,11,4,no,other,no,no,0.5909377257,professional and related service,"professional, technical and kindred",nothern central,21,intermediate,intermediate,medium
429,924,1984,11,5,no,other,no,no,1.202973304,finance,sales workers,nothern central,22,intermediate,intermediate,medium
430,924,1985,11,6,no,other,no,no,1.5546183427,finance,sales workers,nothern central,23,intermediate,intermediate,medium
431,924,1986,11,7,no,other,no,no,1.8021157682,finance,sales workers,nothern central,24,intermediate,intermediate,medium
432,924,1987,11,8,no,other,yes,no,1.6979303857,finance,clerical and kindred,nothern central,25,intermediate,intermediate,medium
433,925,1980,15,2,no,other,no,no,2.135247025,manufacturing,"professional, technical and kindred",nothern central,23,beginner,high,high
434,925,1981,15,3,no,other,no,no,2.2225423853,manufacturing,"professional, technical and kindred",nothern central,24,beginner,high,high
435,925,1982,15,4,no,other,no,no,2.1356700713,professional and related service,"professional, technical and kindred",nothern central,25,intermediate,high,high
436,925,1983,15,5,no,other,no,no,2.2362357125,entertainment,"professional, technical and kindred",nothern central,26,intermediate,high,high
437,925,1984,15,6,no,other,no,no,2.3475226878,manufacturing,"professional, technical and kindred",nothern central,27,intermediate,high,high
438,925,1985,15,7,no,other,yes,no,2.4144481861,manufacturing,"professional, technical and kindred",nothern central,28,intermediate,high,high
439,925,1986,15,8,no,other,yes,no,0.0494449239,manufacturing,"professional, technical and kindred",nothern central,29,intermediate,high,medium
440,925,1987,15,9,no,other,yes,no,2.6232189767,manufacturing,"professional, technical and kindred",nothern central,30,advanced,high,high
441,944,1980,13,2,no,other,no,no,0.8193909071,trade,clerical and kindred,nothern central,21,beginner,high,medium
442,944,1981,13,3,no,other,no,no,0.5895946567,trade,clerical and kindred,nothern central,22,beginner,high,medium
443,944,1982,13,4,no,other,no,no,1.3997665227,trade,clerical and kindred,nothern central,23,intermediate,high,medium
444,944,1983,13,5,no,other,no,no,1.5555110519,trade,clerical and kindred,nothern central,24,intermediate,high,medium
445,944,1984,13,6,no,other,no,no,1.6180078631,trade,clerical and kindred,nothern central,25,intermediate,high,medium
446,944,1985,13,7,no,other,no,no,1.6079723203,trade,"professional, technical and kindred",nothern central,26,intermediate,high,medium
447,944,1986,13,8,no,other,no,no,1.6100926722,trade,clerical and kindred,nothern central,27,intermediate,high,medium
448,944,1987,13,9,no,other,no,no,1.1974496818,trade,clerical and kindred,nothern central,28,advanced,high,medium
449,945,1980,14,1,no,other,no,no,1.0396249423,trade,laborers and farmers,nothern central,21,beginner,high,medium
450,945,1981,14,2,no,other,no,no,1.3598611041,finance,clerical and kindred,nothern central,22,beginner,high,medium
451,945,1982,14,3,no,other,no,no,1.2605020044,finance,clerical and kindred,nothern central,23,beginner,high,medium
452,945,1983,14,4,no,other,no,no,1.3227101413,finance,"professional, technical and kindred",nothern central,24,intermediate,high,medium
453,945,1984,14,5,no,other,no,no,1.7187715884,finance,"professional, technical and kindred",nothern central,25,intermediate,high,medium
454,945,1985,14,6,no,other,no,yes,1.3103991435,professional and related service,"professional, technical and kindred",nothern central,26,intermediate,high,medium
455,945,1986,14,7,no,other,no,no,1.4116248074,professional and related service,"professional, technical and kindred",nothern central,27,intermediate,high,medium
456,945,1987,14,8,no,other,no,no,1.3862043652,professional and related service,"professional, technical and kindred",nothern central,28,intermediate,high,medium
457,947,1980,13,3,yes,other,no,no,2.2364569269,manufacturing,operatives and kindred,nothern central,22,beginner,high,high
458,947,1981,13,4,yes,other,no,no,2.3766930651,business and repair service,"craftsmen, foremen and kindred",nothern central,23,intermediate,high,high
459,947,1982,13,5,yes,other,yes,no,2.3865393296,manufacturing,"craftsmen, foremen and kindred",nothern central,24,intermediate,high,high
460,947,1983,13,6,no,other,yes,no,2.3846279979,business and repair service,"professional, technical and kindred",nothern central,25,intermediate,high,high
461,947,1984,13,7,no,other,yes,no,2.400284968,business and repair service,"professional, technical and kindred",nothern central,26,intermediate,high,high
462,947,1985,13,8,no,other,yes,no,2.4713790496,business and repair service,operatives and kindred,nothern central,27,intermediate,high,high
463,947,1986,13,9,no,other,yes,no,2.2640999444,business and repair service,clerical and kindred,nothern central,28,advanced,high,high
464,947,1987,13,10,no,other,yes,no,2.2822923897,business and repair service,clerical and kindred,nothern central,29,advanced,high,high
465,955,1980,12,4,yes,other,no,no,2.0708052578,manufacturing,"professional, technical and kindred",nothern central,22,intermediate,intermediate,high
466,955,1981,12,5,yes,other,no,no,1.9889275341,business and repair service,clerical and kindred,nothern central,23,intermediate,intermediate,medium
467,955,1982,12,6,yes,other,no,no,1.9781854376,manufacturing,"craftsmen, foremen and kindred",nothern central,24,intermediate,intermediate,medium
468,955,1983,12,7,yes,other,no,no,2.0883155824,professional and related service,operatives and kindred,nothern central,25,intermediate,intermediate,high
469,955,1984,12,8,yes,other,no,no,2.1288334869,manufacturing,operatives and kindred,nothern central,26,intermediate,intermediate,high
470,955,1985,12,9,yes,other,no,no,2.2077945287,manufacturing,operatives and kindred,nothern central,27,advanced,intermediate,high
471,955,1986,12,10,yes,other,no,no,2.4754090381,manufacturing,"craftsmen, foremen and kindred",nothern central,28,advanced,intermediate,high
472,955,1987,12,11,yes,other,no,no,2.2177538686,manufacturing,"craftsmen, foremen and kindred",nothern central,29,advanced,intermediate,high
473,965,1980,12,5,no,other,no,no,1.4175403591,trade,clerical and kindred,nothern central,23,intermediate,intermediate,medium
474,965,1981,12,6,no,other,no,no,1.4781019104,trade,clerical and kindred,nothern central,24,intermediate,intermediate,medium
475,965,1982,12,7,no,other,no,no,1.384883592,trade,clerical and kindred,nothern central,25,intermediate,intermediate,medium
476,965,1983,12,8,no,other,no,no,1.5177707239,trade,laborers and farmers,nothern central,26,intermediate,intermediate,medium
477,965,1984,12,9,no,other,yes,no,1.4276541346,trade,laborers and farmers,nothern central,27,advanced,intermediate,medium
478,965,1985,12,10,no,other,yes,no,1.440539376,trade,clerical and kindred,nothern central,28,advanced,intermediate,medium
479,965,1986,12,11,no,other,yes,no,1.4204718129,trade,clerical and kindred,nothern central,29,advanced,intermediate,medium
480,965,1987,12,12,no,other,yes,no,1.3815058444,trade,clerical and kindred,nothern central,30,advanced,intermediate,medium
481,996,1980,11,2,no,other,yes,no,1.557642744,trade,"craftsmen, foremen and kindred",south,19,beginner,intermediate,medium
482,996,1981,11,3,no,other,yes,no,1.4824382217,trade,laborers and farmers,nothern central,20,beginner,intermediate,medium
483,996,1982,11,4,no,other,yes,no,1.2442162625,trade,"craftsmen, foremen and kindred",nothern central,21,intermediate,intermediate,medium
484,996,1983,11,5,no,other,yes,no,0.7208267497,business and repair service,"craftsmen, foremen and kindred",south,22,intermediate,intermediate,medium
485,996,1984,11,6,no,other,yes,no,0.8070776469,business and repair service,"craftsmen, foremen and kindred",south,23,intermediate,intermediate,medium
486,996,1985,11,7,no,other,yes,no,0.8231040171,business and repair service,"managers, officials and proprietors",south,24,intermediate,intermediate,medium
487,996,1986,11,8,no,other,yes,no,1.1090356545,business and repair service,"craftsmen, foremen and kindred",south,25,intermediate,intermediate,medium
488,996,1987,11,9,no,other,yes,no,2.2386436251,business and repair service,"craftsmen, foremen and kindred",nothern central,26,advanced,intermediate,high
489,1007,1980,12,4,no,other,no,no,1.4479995666,business and repair service,"craftsmen, foremen and kindred",nothern central,22,intermediate,intermediate,medium
490,1007,1981,12,5,no,other,no,no,1.7525387561,manufacturing,"professional, technical and kindred",nothern central,23,intermediate,intermediate,medium
491,1007,1982,12,6,no,other,no,no,1.5474025215,trade,"craftsmen, foremen and kindred",nothern central,24,intermediate,intermediate,medium
492,1007,1983,12,7,no,other,no,no,2.0438638198,business and repair service,"craftsmen, foremen and kindred",nothern central,25,intermediate,intermediate,high
493,1007,1984,12,8,no,other,no,no,2.15214371,manufacturing,"craftsmen, foremen and kindred",nothern central,26,intermediate,intermediate,high
494,1007,1985,12,9,no,other,no,no,2.2672179492,trade,"craftsmen, foremen and kindred",nothern central,27,advanced,intermediate,high
495,1007,1986,12,10,no,other,yes,no,2.7473427536,trade,"managers, officials and proprietors",nothern central,28,advanced,intermediate,high
496,1007,1987,12,11,no,other,yes,no,2.5771798459,manufacturing,"craftsmen, foremen and kindred",nothern central,29,advanced,intermediate,high
497,1054,1980,10,3,no,other,no,no,0.7246636478,personal service,"craftsmen, foremen and kindred",nothern central,19,beginner,intermediate,medium
498,1054,1981,10,4,no,other,no,no,1.7942625994,trade,"craftsmen, foremen and kindred",nothern central,20,intermediate,intermediate,medium
499,1054,1982,10,5,no,other,no,no,1.1619275583,trade,clerical and kindred,nothern central,21,intermediate,intermediate,medium
500,1054,1983,10,6,no,other,yes,no,1.4596000911,professional and related service,service workers,nothern central,22,intermediate,intermediate,medium
501,1054,1984,10,7,no,other,yes,no,1.0282199968,agricultural,laborers and farmers,nothern central,23,intermediate,intermediate,medium
502,1054,1985,10,8,no,other,yes,no,1.3033382545,agricultural,farm laborers and foreman,nothern central,24,intermediate,intermediate,medium
503,1054,1986,10,9,no,other,yes,no,1.6498849772,agricultural,"professional, technical and kindred",nothern central,25,advanced,intermediate,medium
504,1054,1987,10,10,yes,other,yes,no,1.3091851828,agricultural,farm laborers and foreman,north east,26,advanced,intermediate,medium
505,1064,1980,12,4,no,other,yes,yes,1.9031182592,transportation,laborers and farmers,nothern central,22,intermediate,intermediate,medium
506,1064,1981,12,5,no,other,yes,yes,2.0210710097,transportation,clerical and kindred,nothern central,23,intermediate,intermediate,high
507,1064,1982,12,6,no,other,yes,yes,1.8954277239,agricultural,clerical and kindred,nothern central,24,intermediate,intermediate,medium
508,1064,1983,12,7,no,other,yes,no,2.1225069471,transportation,clerical and kindred,nothern central,25,intermediate,intermediate,high
509,1064,1984,12,8,no,other,yes,no,1.8803721276,manufacturing,operatives and kindred,nothern central,26,intermediate,intermediate,medium
510,1064,1985,12,9,no,other,yes,no,1.9924774136,trade,clerical and kindred,nothern central,27,advanced,intermediate,medium
511,1064,1986,12,10,no,other,yes,no,1.9640254074,trade,clerical and kindred,nothern central,28,advanced,intermediate,medium
512,1064,1987,12,11,no,other,yes,no,1.9294710151,transportation,clerical and kindred,nothern central,29,advanced,intermediate,medium
513,1081,1980,10,2,no,other,no,no,1.0879968325,finance,"craftsmen, foremen and kindred",south,18,beginner,intermediate,medium
514,1081,1981,10,3,no,other,no,no,1.249144523,construction,"craftsmen, foremen and kindred",south,19,beginner,intermediate,medium
515,1081,1982,10,4,no,other,no,no,1.5474025215,trade,clerical and kindred,south,20,intermediate,intermediate,medium
516,1081,1983,10,5,no,other,no,no,1.3517034445,trade,clerical and kindred,south,21,intermediate,intermediate,medium
517,1081,1984,10,6,no,other,no,no,1.4261168553,trade,service workers,south,22,intermediate,intermediate,medium
518,1081,1985,10,7,no,other,no,no,1.0566006021,trade,service workers,south,23,intermediate,intermediate,medium
519,1081,1986,10,8,no,other,no,no,1.2642224964,trade,"managers, officials and proprietors",south,24,intermediate,intermediate,medium
520,1081,1987,10,9,no,other,no,no,2.000009482,trade,"craftsmen, foremen and kindred",south,25,advanced,intermediate,high
521,1085,1980,12,1,no,other,no,no,1.8871239582,trade,"craftsmen, foremen and kindred",south,19,beginner,intermediate,medium
522,1085,1981,12,2,no,other,no,no,1.4815212111,business and repair service,"craftsmen, foremen and kindred",south,20,beginner,intermediate,medium
523,1085,1982,12,3,no,other,no,no,1.2176419438,manufacturing,"craftsmen, foremen and kindred",south,21,beginner,intermediate,medium
524,1085,1983,12,4,no,other,no,no,0.737586125,trade,"craftsmen, foremen and kindred",south,22,intermediate,intermediate,medium
525,1085,1984,12,5,no,other,yes,yes,1.2887732938,trade,"craftsmen, foremen and kindred",south,23,intermediate,intermediate,medium
526,1085,1985,12,6,no,other,yes,no,1.073505715,trade,"craftsmen, foremen and kindred",south,24,intermediate,intermediate,medium
527,1085,1986,12,7,no,other,yes,no,1.3171722431,business and repair service,"craftsmen, foremen and kindred",south,25,intermediate,intermediate,medium
528,1085,1987,12,8,no,other,no,no,2.0170495535,manufacturing,"craftsmen, foremen and kindred",south,26,intermediate,intermediate,high
529,1091,1980,9,6,yes,other,no,no,1.1110029161,trade,laborers and farmers,south,21,intermediate,low,medium
530,1091,1981,9,7,no,other,yes,no,1.1620925577,trade,laborers and farmers,south,22,intermediate,low,medium
531,1091,1982,9,8,yes,other,yes,no,1.0618947057,trade,laborers and farmers,south,23,intermediate,low,medium
532,1091,1983,9,9,no,other,yes,no,1.1275730879,trade,operatives and kindred,south,24,advanced,low,medium
533,1091,1984,9,10,no,other,yes,no,1.1891799819,manufacturing,laborers and farmers,south,25,advanced,low,medium
534,1091,1985,9,11,yes,other,yes,no,1.2227949893,trade,laborers and farmers,south,26,advanced,low,medium
535,1091,1986,9,12,no,other,yes,no,1.1646674794,trade,laborers and farmers,south,27,advanced,low,medium
536,1091,1987,9,13,no,other,yes,no,1.3958945818,transportation,laborers and farmers,south,28,expert,low,medium
537,1094,1980,12,3,no,other,yes,no,1.3426390509,construction,"craftsmen, foremen and kindred",south,21,beginner,intermediate,medium
538,1094,1981,12,4,no,other,yes,no,1.4064970684,construction,"craftsmen, foremen and kindred",south,22,intermediate,intermediate,medium
539,1094,1982,12,5,no,other,yes,no,1.5297029444,construction,operatives and kindred,south,23,intermediate,intermediate,medium
540,1094,1983,12,6,no,other,yes,no,1.7575967752,construction,"craftsmen, foremen and kindred",south,24,intermediate,intermediate,medium
541,1094,1984,12,7,no,other,yes,no,1.9056899356,construction,"craftsmen, foremen and kindred",south,25,intermediate,intermediate,medium
542,1094,1985,12,8,no,other,yes,no,1.9662319111,construction,"craftsmen, foremen and kindred",south,26,intermediate,intermediate,medium
543,1094,1986,12,9,no,other,yes,no,2.1404171866,construction,"craftsmen, foremen and kindred",south,27,advanced,intermediate,high
544,1094,1987,12,10,no,other,yes,no,2.1755591903,construction,operatives and kindred,south,28,advanced,intermediate,high
545,1096,1980,11,6,no,other,no,no,1.2640767284,agricultural,"craftsmen, foremen and kindred",south,23,intermediate,intermediate,medium
546,1096,1981,11,7,no,other,no,no,1.2780807765,agricultural,farm laborers and foreman,south,24,intermediate,intermediate,medium
547,1096,1982,11,8,no,other,no,no,0.9997629246,agricultural,"craftsmen, foremen and kindred",south,25,intermediate,intermediate,medium
548,1096,1983,11,9,no,other,no,no,0.9654240493,agricultural,"craftsmen, foremen and kindred",south,26,advanced,intermediate,medium
549,1096,1984,11,10,no,other,no,no,1.0286199168,agricultural,"craftsmen, foremen and kindred",south,27,advanced,intermediate,medium
550,1096,1985,11,11,no,other,no,no,1.0129983162,agricultural,"craftsmen, foremen and kindred",south,28,advanced,intermediate,medium
551,1096,1986,11,12,no,other,yes,no,1.2843396386,finance,"craftsmen, foremen and kindred",south,29,advanced,intermediate,medium
552,1096,1987,11,13,yes,other,yes,no,1.4081740915,agricultural,"craftsmen, foremen and kindred",south,30,expert,intermediate,medium
553,1098,1980,14,1,no,other,no,no,1.5519678091,professional and related service,"professional, technical and kindred",south,21,beginner,high,medium
554,1098,1981,14,2,no,other,no,no,2.1282317058,professional and related service,"professional, technical and kindred",south,22,beginner,high,high
555,1098,1982,14,3,no,other,no,no,2.7577758513,business and repair service,"professional, technical and kindred",south,23,beginner,high,high
556,1098,1983,14,4,no,other,no,no,1.5096074133,manufacturing,"professional, technical and kindred",south,24,intermediate,high,medium
557,1098,1984,14,5,no,other,no,no,1.9333861629,manufacturing,"professional, technical and kindred",south,25,intermediate,high,medium
558,1098,1985,14,6,no,other,no,no,2.2776758942,manufacturing,"professional, technical and kindred",south,26,intermediate,high,high
559,1098,1986,14,7,no,other,no,no,2.265224495,construction,"professional, technical and kindred",south,27,intermediate,high,high
560,1098,1987,14,8,no,other,yes,no,2.2827586989,professional and related service,"professional, technical and kindred",south,28,intermediate,high,high
561,1102,1980,13,3,no,other,no,no,0.8810844761,professional and related service,clerical and kindred,south,22,beginner,high,medium
562,1102,1981,13,4,no,other,no,no,2.0402208285,business and repair service,clerical and kindred,south,23,intermediate,high,high
563,1102,1982,13,5,no,other,no,no,1.8330034278,manufacturing,sales workers,south,24,intermediate,high,medium
564,1102,1983,13,6,no,other,no,no,1.7742002529,business and repair service,"managers, officials and proprietors",south,25,intermediate,high,medium
565,1102,1984,13,7,no,other,no,no,1.8223083266,business and repair service,sales workers,south,26,intermediate,high,medium
566,1102,1985,13,8,no,other,no,no,2.6572744319,business and repair service,sales workers,south,27,intermediate,high,high
567,1102,1986,13,9,no,other,no,no,2.774626927,trade,"managers, officials and proprietors",south,28,advanced,high,high
568,1102,1987,13,10,no,other,no,no,2.8517858616,manufacturing,sales workers,south,29,advanced,high,high
569,1107,1980,12,5,no,other,no,no,1.5433097464,construction,"craftsmen, foremen and kindred",south,23,intermediate,intermediate,medium
570,1107,1981,12,6,no,other,yes,no,1.5702171993,construction,"craftsmen, foremen and kindred",south,24,intermediate,intermediate,medium
571,1107,1982,12,7,no,other,yes,no,1.6566018135,construction,"craftsmen, foremen and kindred",south,25,intermediate,intermediate,medium
572,1107,1983,12,8,no,other,yes,no,1.6608715675,construction,"craftsmen, foremen and kindred",south,26,intermediate,intermediate,medium
573,1107,1984,12,9,no,other,yes,no,2.0010001154,construction,"craftsmen, foremen and kindred",south,27,advanced,intermediate,high
574,1107,1985,12,10,no,other,yes,no,1.8713222921,construction,"craftsmen, foremen and kindred",south,28,advanced,intermediate,medium
575,1107,1986,12,11,no,other,yes,no,1.8904754422,construction,"craftsmen, foremen and kindred",south,29,advanced,intermediate,medium
576,1107,1987,12,12,no,other,yes,no,2.0354323118,construction,"craftsmen, foremen and kindred",south,30,advanced,intermediate,high
577,1142,1980,14,2,no,hisp,no,no,1.4131123076,trade,service workers,south,22,beginner,high,medium
578,1142,1981,14,3,no,hisp,no,no,1.6677734894,finance,"managers, officials and proprietors",south,23,beginner,high,medium
579,1142,1982,14,4,no,hisp,no,no,1.922095971,finance,"managers, officials and proprietors",south,24,intermediate,high,medium
580,1142,1983,14,5,no,hisp,no,no,1.7413739397,transportation,"managers, officials and proprietors",south,25,intermediate,high,medium
581,1142,1984,14,6,no,hisp,no,no,2.0110504512,finance,clerical and kindred,south,26,intermediate,high,high
582,1142,1985,14,7,no,hisp,yes,no,2.2235428857,finance,"managers, officials and proprietors",south,27,intermediate,high,high
583,1142,1986,14,8,no,hisp,yes,no,2.0885624136,finance,"managers, officials and proprietors",south,28,intermediate,high,high
584,1142,1987,14,9,no,hisp,yes,no,2.3413077302,finance,"managers, officials and proprietors",south,29,advanced,high,high
